month,revenue,orders,customers,cumulative_revenue,mom_growth
2016-10,46566.71,265,265,46566.71,
2016-12,19.62,1,1,46586.33,-99.95786689675951
2017-01,127545.67,750,750,174132.0,649979.867482161
2017-02,271298.65,1653,1653,445430.65,112.70706406575779
2017-03,414369.39,2546,2546,859800.04,52.73551490211985
2017-04,390952.18,2303,2303,1250752.22,-5.651288576118041
2017-05,567066.73,3546,3546,1817818.95,45.04759380034662
2017-06,490225.6,3135,3135,2308044.55,-13.55063274475652
2017-07,566403.93,3872,3872,2874448.48,15.539443472556336
2017-08,646000.61,4193,4193,3520449.09,14.052988650696662
2017-09,701169.99,4150,4150,4221619.08,8.540143638564057
2017-10,751140.27,4478,4478,4972759.35,7.126699760781263
2017-11,1153528.05,7289,7289,6126287.399999999,53.5702579226647
2017-12,843199.17,5513,5513,6969486.569999999,-26.902586374037462
2018-01,1078606.86,7069,7069,8048093.43,27.91839678874448
2018-02,966510.88,6555,6555,9014604.31,-10.392663365779086
2018-03,1120678.0,7003,7003,10135282.31,15.950893382596988
2018-04,1132933.95,6798,6798,11268216.26,1.0936192197937178
2018-05,1128836.69,6749,6749,12397052.95,-0.36165038570872277
2018-06,1012090.68,6099,6099,13409143.629999999,-10.342152326746213
2018-07,1027903.86,6159,6159,14437047.489999998,1.5624271927886957
2018-08,985414.28,6351,6351,15422461.769999998,-4.133614207850133
